start	end	text
31	15566	The whole idea behind our programs are to involve community residents, community volunteers, make it as easy as possible for them to get involved in cleanup efforts and beautification projects.
15646	26797	We have events going on throughout the city all year long, and I encourage anybody to check out our website, which is laocb.org.
27197	29059	We have a calendar of events.
29039	48634	And people can just take a look and see what's going on in their neighborhoods and come out and enjoy the fun and make a difference in their neighborhoods.
49542	57002	Neighborhood events like Donuts and Coffee with the Deputy Chief are closing the gap between the perception of LA's police department and the reality.
57563	62556	This kind of direct networking can help dispel some myths and build up community trust.
66316	72747	Right now, we're in front of a restaurant called 3030 Mexico, and we're just here to invite the community, right?
72767	77134	We want the community to see us in a different light than actually at radio calls or stops.
77515	86350	This is a restaurant where a lot of people patron to come and have breakfast, and we're just here to offer any questions and answers that people may want.
87173	92046	When we say community policing, it's events like Coffee with a Cop.
92066	103495	It's us being out in the community, networking with our businesses, networking with folks that live and work in this community, and just sharing dialogue over a cup of coffee.
105061	122957	We're taking this as a great opportunity to engage with the public and close that gap and build that bridge between community member and also police officer and explain to them what it is that we do in regards with immigration and go ahead and brief them on our policy and at the same time to give them information.
123237	130724	We have them in English and in Spanish, these booklets that states with the policy of the Los Angeles Police Department with respect to immigration.
131104	135068	And we also have a QR code where that information can be downloaded on the cell phone.
135048	135357	you
140279	146846	The workers don't want to come to work because of the fear of being deported.
146866	149769	We already have several workers who left.
149789	156696	The people, the clients, don't want to come to eat because of the fear of being caught.
156917	169510	It's a very sad, very difficult situation, both as business owners, as human beings, as Hispanic people.
169793	172881	LAPD's policy when it comes to immigration, so people are clear.
173182	175829	We don't participate in civil immigration enforcement.
175849	180682	One of the things that we like here is that people are coming in in their own environment.
180702	181905	This isn't a radio call.
181925	183249	This is an enforcement action.
183690	185575	This is just having coffee.
186331	208086	The past couple of months have been a little bit of a strain, but by us doing these events frequently, it gives us the opportunity to go ahead and speak to the community member so they know not to be in fear of the police department and let them know that we are here to support them, but at the same time educate them so they understand what the role of law enforcement is with respect to immigration instead of listening to the false narratives that keep getting passed.
212133	216722	Exiting homelessness is never easy, but a new community is easing the path.
217343	221492	Atlas Apartments in South LA are new, affordable, and already helping.
221992	227323	Council President Marquise Harris-Dawson joined the city's Housing Authority to celebrate this opening.
234425	242417	We're so excited to be at the grand opening of brand new affordable supportive housing community here in the heart of South LA.
242437	259302	127 units that will welcome individuals that are exiting homelessness thanks to a partnership between Link Housing, the City of LA, the Housing Authority and the County.
260142	262285	It's always nice to get to the finish line and cut the ribbon.
262666	267593	But more than that, every time you do one of these buildings, you talk to someone who has a story.
268174	275405	And the story usually goes something like, I thought I might die living in that alley, or I didn't know if I was ever gonna make it out of living out of my car.
275986	282876	Seeing people have hope who've been at their lowest points is absolutely by far the best part of these buildings.
285910	292678	being homeless, living in a shelter, recovering from making bad decisions and what have you.
293058	294680	And this is like a big relief.
295441	301708	From roughly 2005 to actually right now, I was homeless.
301728	305833	I'm so grateful to the whole organization for all that they're doing.
306314	309117	You know, I'm just eternally forever be grateful.
309400	315589	The Housing Authority of the City of LA provides affordable housing to Angelenos across our city.
